STATION,LINE,TERMINUS,ROUTE,BlobArea,BlobScore
North Station,GREEN/ORANGE,N,GREEN D E / ORANGE Forest Hills to Oak Grove,1046208.163,98.37587956
Maverick,BLUE,N,Bowdoin to Wonderland,2834032.886,95.52131103
Airport Terminal C,SILVER,N,SL1,2144483.902,96.62229414
Lechmere,GREEN,Y,E - Lechmere,1632428.364,97.43987856
Harvard,RED,N,A - Ashmont  B - Braintree  C - Alewife,5713461.189,90.92381034
Airport Terminal E,SILVER,Y,SL1,763991.347,98.82648707
Airport,SILVER,N,SL3,455719.415,99.31869603
Woodland,GREEN,N,D - Riverside,6528423.839,89.62258282
Community College,ORANGE,N,Forest Hills to Oak Grove,2075607.111,96.73226774
Airport,BLUE,N,Bowdoin to Wonderland,1185633.229,98.15326355
Wood Island,BLUE,N,Bowdoin to Wonderland,1488246.228,97.67009004
Sullivan Square,ORANGE,N,Forest Hills to Oak Grove,3248380.642,94.85973384
Orient Heights,BLUE,N,Bowdoin to Wonderland,3177717.862,94.97255908
Eastern Ave,SILVER,N,SL3,1625276.33,97.451298
Suffolk Downs,BLUE,N,Bowdoin to Wonderland,1249052.113,98.05200443
Bellingham Sq,SILVER,N,SL3,2232940.281,96.48105838
Alewife,RED,Y,A - Ashmont  B - Braintree  C - Alewife,57358465.59,8.463711098
Porter,RED,N,A - Ashmont  B - Braintree  C - Alewife,4045693.425,93.58668736
Chelsea,SILVER,Y,SL3,7721350.351,87.71787123
Assembly,ORANGE,N,Forest Hills to Oak Grove,3208612.59,94.92323035
Box District,SILVER,N,SL3,2524522.471,96.01549745
Davis,RED,N,A - Ashmont  B - Braintree  C - Alewife,10174820.9,83.80048508
Wellington,ORANGE,N,Forest Hills to Oak Grove,6972439.35,88.91363597
Beachmont,BLUE,N,Bowdoin to Wonderland,1102309.253,98.28630456
Riverside,GREEN,Y,D - Riverside,18509245.42,70.49314817
Revere Beach,BLUE,N,Bowdoin to Wonderland,1926340.023,96.97059823
Wonderland,BLUE,Y,Bowdoin to Wonderland,7923952.544,87.39438211
Malden Center,ORANGE,N,Forest Hills to Oak Grove,12144720.15,80.65520337
Oak Grove,ORANGE,Y,Forest Hills to Oak Grove,4505649.785,92.85228821
